"Qty","Part Number (Manufacturer)","Part Number (Vendor)","Vendor","Value","Reference","Purchase Link"
"1","LQW15AN11NG00D","490-6764-2-ND","Digikey","11nH_500mA_0.14R","L2901","https://www.digikey.ca/en/products/detail/murata-electronics/LQW15AN11NG00D/2594847?s=N4IgTCBcDaIDIEUDqBGArAQQHIpVg4gAyEgC6AvkA"
"1","LQW15AN33NG00D","490-6804-2-ND","Digikey","33nH_260mA_0.63Ohm","L2904","https://www.digikey.ca/en/products/detail/murata-electronics/LQW15AN33NG00D/2594897?s=N4IgTCBcDaIDIEUDqBGArAQQHIGYdYHEAGIkAXQF8g"
"1","LQW15AN3N6C10D","490-6811-2-ND","Digikey","3n6H_900mA_40mOhm","L2906","https://www.digikey.ca/en/products/detail/murata-electronics/LQW15AN3N6C10D/2594907?s=N4IgTCBcDaIDIEUDqBGArAQQHIGYsDYBhFABhAF0BfIA"
"1","LQW15AN3N3C80D","490-7642-2-ND","Digikey","3n3H_2A_30mOhm","L2903","https://www.digikey.ca/en/products/detail/murata-electronics/LQW15AN3N3C80D/4292355?s=N4IgTCBcDaIDIEUDqBGArAQQHIGZcGEAOABhAF0BfIA"
"3","LQW15AN8N7H00D","490-8443-2-ND","Digikey","8n7H_540mA_0.14R","L2907,L2908,L2909","https://www.digikey.ca/en/products/detail/murata-electronics/LQW15AN8N7H00D/2594964?s=N4IgTCBcDaIDIEUDqBGArAQQHIA4sHYAJABmJAF0BfIA"
"1","LQM21PN2R2MGHL","490-9573-2-ND","Digikey","2u2H_1.3A_156mOhm","L601","https://www.digikey.ca/en/products/detail/murata-electronics/LQM21PN2R2MGHL/4864858?s=N4IgTCBcDaIDIEUCyYCMAFAcmASmJA4gBIgC6AvkA"
"23","GRM188Z71C475KE21D","490-GRM188Z71C475KE21DTR-ND","Digikey","4u7F_16V_X7R","C601,C602,C2101,C2102,C2103,C2707,C3101,C3102,C3103,C3104,C3105,C3106,C3107,C3108,C3110,C3111,C3113,C3201,C3301,C3302,C3304,C3305,C3306","https://www.digikey.ca/en/products/detail/murata-electronics/GRM188Z71C475KE21D/13401930"
"12","GRT188R61C106KE13J","490-GRT188R61C106KE13JTR-ND","Digikey","10uF_16V_X5R","C502,C503,C504,C505,C3401,C3402,C3501,C3502,C3601,C3602,C3701,C3702",""
"1","LQW15AN3N0B00D","490-LQW15AN3N0B00DTR-ND","Digikey","3nH_750mA_70mOhm","L2905","https://www.digikey.ca/en/products/detail/murata-electronics/LQW15AN3N0B00D/10696841?s=N4IgTCBcDaIDIEUDqBGArAQQHIGYsAYAhffEAXQF8g"
"1","STM32U575VIT6Q","497-STM32U575VIT6Q-ND","Digikey","STM32U575VIT6Q","U602","https://www.digikey.ca/en/products/detail/stmicroelectronics/STM32U575VIT6Q/18085722"
"1","STM32WLE5CCU7","497-STM32WLE5CCU7-ND","Digikey","STM32WLE5CCU7","U2703","https://www.digikey.ca/en/products/detail/stmicroelectronics/STM32WLE5CCU7/17399703"
"1","ECS-260-12-37B2-CKM-TR","50-ECS-260-12-37B2-CKM-TR-ND","Digikey","26MHz_10ppm_12pF","X3101",""
"2","NX3L1T3157GMZ","568-NX3L1T3157GMZTR-ND","Digikey","NX3L1T3157GMZ","U2702,U2901","https://www.digikey.ca/en/products/detail/nxp-usa-inc/NX3L1T3157GMZ/12161721"
"3","UMK063CG010CTHF","587-3776-2-ND","Digikey","1pF_50V_C0G","C3112,C3117,C3119",""
"2","UMK063CG1R8CTHF","587-UMK063CG1R8CTHFTR-ND","Digikey","1p8F_50V_C0G","C3121,C3122",""
"5","10114829-10102LF","609-4383-2-ND","Digikey","HDR_1X2_VERT_1.25MM","J2202,J2203,J2204,J2205,J3202","https://www.digikey.ca/en/products/detail/amphenol-cs-fci/10114829-10102LF/2658929"
"1","10118194-0001LF","609-4618-2-ND","Digikey","USB_MICRO B_RA","J3201",""
"1","CS06465-32M","644-CS06465-32MTR-ND","Digikey","32MHz_10pF_10ppm","X2701","https://www.digikey.ca/en/products/detail/ndk-america-inc/CS06465-32M/7645290"
"1","2450AT18A100E","712-2450AT18A0100001ETR-ND","Digikey","2.4GHz_2W_0.5dBi","ANT3101",""
"1","L-07C2N7SV6T","712-LRC0402CS2N7GV001TTR-ND","Digikey","2n7H_300mA_0.17R","L3102",""
"1","L-07C3N9SV6T","712-LRC0402CS3N9GV001TTR-ND","Digikey","3n9H_300mA_0.22R","L3101",""
"4","151051BS04000","732-5015-ND","Digikey","BLUE_3.2V_470nm","D3805,D3806,D3807,D3808","https://www.digikey.ca/en/products/detail/w%C3%BCrth-elektronik/151051BS04000/4490009"
"1","150060YS75000","732-4981-2-ND","Digikey","YELLOW_2V_20mA","LED1502","https://www.digikey.ca/en/products/detail/w%C3%BCrth-elektronik/150060YS75000/4489909"
"1","BME280","828-1063-2-ND","Digikey","BME280","U1401","https://www.digikey.ca/en/products/detail/bosch-sensortec/BME280/6136306"
"4","52500016-400","889-52500016-400-ND","Digikey","PHILLIPS_M3x0.5","SCR3801,SCR3802,SCR3803,SCR3804","https://www.digikey.ca/en/products/detail/amphenol-sine-systems-corp/52500016-400/10443354"
"5","M50-3530242","952-3598-ND","Digikey","HDR_1X2_VERT","J501,J1601,J1701,J1801,J1901","https://www.digikey.ca/en/products/detail/harwin-inc/M50-3530242/7044013"
"2","M50-3530442","952-3600-ND","Digikey","HDR_1X4_VERT","J601,J2701","https://www.digikey.ca/en/products/detail/harwin-inc/M50-3530442/7044015"
"8","CRGCQ0603F470R","A129684TR-ND","Digikey","470R_1/10W_1%","R1501,R1502,R2704,R3001,R3402,R3502,R3602,R3702","https://www.digikey.ca/en/products/detail/te-connectivity-passive-product/CRGCQ0603F470R/8576286"
"4","V6621B","AE10787-ND","Digikey","STANDOFF_HEX_MF","MECH3809,MECH3810,MECH3811,MECH3812","https://www.digikey.ca/en/products/detail/assmann-wsw-components/V6621B/3511465"
"1","ATWILC1000B-MU-Y","ATWILC1000B-MU-Y-ND","Digikey","ATWILC1000B-MU-Y","U3101",""
"1","BGS13SN8E6327XTSA1","BGS13SN8E6327XTSA1TR-ND","Digikey","BGS13SN8E6327XTSA1","U2902","https://www.digikey.ca/en/products/detail/infineon-technologies/BGS13SN8E6327XTSA1/6560103"
"1","CW105550A-15NJ","CW105550A-15NJTR-ND","Digikey","15nH_560mA_0.172R","L3106",""
"1","MCP73811T-420I/OT","MCP73811T-420I/OTTR-ND","Digikey","MCP73811T-420I/OT","U3201",""
"1","N/A","N/A","Amazon","3.7VDC_2000mA","BATT3801","https://www.amazon.ca/Rechargeable-Controller-CUH-ZCT1-Electronic-Bluetooth/dp/B0CG178SHB/ref=sr_1_27?crid=1BS21SRO6O608&dib=eyJ2IjoiMSJ9.4JOVIIi4X8LRcrvos_IHWjD8hpb3LZNE-44p5sNDIV65TNPTNILB_82gB1iVfS926JkLSUCF5ZEpxa5gjAdGHmW6Ju9UvL8o3w5xiYOK3n72wNCiT6GnGvA2NRtvpTgnEIBq0uEruzpjMWdKLd6_qU-SctwPeXqASYmIe_x0hXNwAQttp-m4Q2g6W0u1m_sS-Xt9uGgfHkSFLdSycUEmOMpvKr33vilhJIUwrGlZPl9AZ8S9FRXJ0XnQvUh97L4bpSbAD2FFHcJAAT5kG_7tV8h6CdST8ckrCsUQScMIXRE.p48PQJqu0Zw-6_qKXVY02RLQ2n0xYiMCSi-YdQEf6ZA&dib_tag=se&keywords=3.7v+battery&qid=1711572473&sprefix=3+7v+battery%2Caps%2C75&sr=8-27"
"4","N/A","N/A","Amazon","MOTOR_CORELESS_DC3.7V_45000RPM","M3801,M3802,M3803,M3804","https://www.amazon.ca/Helicopter-Coreless-Motor-Torque-Propeller/dp/B01HXSNSQO/ref=sr_1_7?crid=2GZRK6G38UMQQ&dib=eyJ2IjoiMSJ9.6AyO2ccmEqLRdU-RGgukZFUL8a-kmv4YkQWditDUQOJpaYKgdYr_30ZR6YcZskp2V2vMmg6AeLR-e1OydE6MrbYSjVkRF9OZgumksYo2M1-Bery224_ohW_0GohuYUtuCavXt4-dRaw44COXK4pTUg_QXHTcxYhrBe8Kd0TmTMZ7QgRxX4QgkOMh4vDXzxqxmi5-zlBI6uHoZyGhU00nZ1grwsvNTDHK0_L_B_IYABe1aCeXH2Q7EA1KGkz443PhP2qjHnfl3k49-6MWVoQBob06KvWZKlWRKpOsJA9tLZE.ZpNZav8ejF2jnxieNiHjrr75-nZjKk-0iZquuP3XNSA&dib_tag=se&keywords=coreless+motor&qid=1711570660&s=industrial&sprefix=coreless+motor%2Cindustrial%2C74&sr=1-7"
"4","N/A","N/A","Amazon","HOLDER_LED","MECH3801,MECH3802,MECH3803,MECH3804","https://www.amazon.ca/dp/B07QL8BWCM?psc=1&ref=ppx_yo2ov_dt_b_product_details"
"4","N/A","N/A","Amazon","HEX_NUT_M3","MECH3805,MECH3806,MECH3807,MECH3808","https://www.amazon.ca/M3-Hex-Nuts-IMScrews-Stainless/dp/B0CNRQ4GV2/ref=sr_1_12?crid=20T66ATZ1C8YE&dib=eyJ2IjoiMSJ9.PgsW9oLq0GbHh0HMnVQn5e07nI5rGBBr1IKWem4ve8bV9TLNkJVCUKpLhbECAagIwqlLhCZ2ZhPhRzz5v2tFzoRri9tbBziLAF0ipKP5X8TnT_nFGa6KIaB8Daz5zGhCMgybEir6sqD6cZe_ntgxQToQWH_xmSfrWtqMPgoxqWlzVPjbYziBbV3nH7LSisGiTOM-LofHzs6YwvFB7Aofs5cwOoRF7rK7wanZZRYKh0Hhu9u4eJb9_hDSGT_2pD8hwAisRw3c6zH_ndBSf5yDNuw0pJ2aNKm3iemDXM9PFgo.DK-kXxsB0UU4-PJ5Zxf3C18UmguE7bEG1poR9lzJWzc&dib_tag=se&keywords=Hex+nut+m3&qid=1711556227&sprefix=hex+nut+m3%2Caps%2C87&sr=8-12"
"4","N/A","N/A","Amazon","PROPELLER_CW-CCW_65MM","MECH3813,MECH3814,MECH3815,MECH3816","https://www.amazon.ca/XYWHPGV-Propellers-Coreless-Quadcopter-Miniquads/dp/B0CQLT4QXM/ref=sr_1_49?dib=eyJ2IjoiMSJ9.nFFVyHp8aFDzN2nlDarcejHvsw2ElnQaoT5Wlidi1XrNHQ2Nw_bZJdirOHPf8rYkg_SAmaNCfHEjDAAKTWOL5A5kv-Ywfj8DF4jUyDDEME8I6Qs7BUnX2nWq1O7Q_ssgPJz6_EesTWYf_0oIemqBHH6AKPT-lgg1lcZXjwBBEOn836gJz4PrhQZTkYhUApKKGRq__dPVGT8aqGgMZXexwvCqZf0UureSaDdEufAv2ulWhYNgRAzRAxVq4YYE9UNWIHcZIyQ7XxX7eoBbmQc5OWgTbuNpXTMbTLt7qrMf2lw.IRylcAQcJakygQaDl3AZJAr5XmzhgGQRxMXpRIk6aME&dib_tag=se&keywords=0720+coreless+motor+propeller&qid=1711571090&sr=8-49"
"1","N/A","N/A","N/A","PCB_6Layers_1.6MM","MECH3817","N/A"
"1","N/A","N/A","N/A","FRAME_RED","MECH3818","N/A"
"4","N/A","N/A","Amazon","RECEPT_JST_1X2_VERT","P3801,P3802,P3803,P3804","https://www.amazon.ca/Acogedor-Micro-1-25mm-Female-Connector/dp/B07GQY53ZQ/ref=sr_1_9?crid=1NV5TGA5CMQPN&dib=eyJ2IjoiMSJ9.k9eX2Yq-jxVNGACDedyqqqIfMp6tgs9WuuPS15zF67fnlKXKxxWglrNuOCMgIcAah-xVkigkmgy4n3xR8X8t-mzh4vF_AtsO5DbVi-AEG9P07FZrA_eSv3n8RMGW-d-UZpdILo60iF_A_YCyppCNjFp5KkZa_CNaz9nMvYiyQYFAX0UO_6DAMDhtADBAiu5UumKl1lNS2VRzsKU9eatyq02xXlt2jQlpMMDvpkPj-xHCiFBwUBO-HrH6ePFUR33J0_x6hjsUEVIHHvFVOwywVja_L8-lUP-7BDI3cVYNAqs.-A8s6a7Nwf-eWQBKZaKmsm55Y0rpCqFvn6F0GDg7Pf8&dib_tag=se&keywords=JST+Female&qid=1711578301&s=industrial&sprefix=jst+female%2Cindustrial%2C67&sr=1-9"
"1","N/A","N/A","Amazon","SPST-NO-1A/250VAC","PB3801","https://www.amazon.ca/gp/product/B0BHCLHNKR/ref=ppx_yo_dt_b_asin_title_o00_s00?ie=UTF8&th=1"
"1","OV2640","N/A","Amazon","OV2640-2MP","SEN3801","https://www.amazon.ca/2PCS-OV2640-200W-Pixels-Module/dp/B0CS33Z1WN/ref=sr_1_2_sspa?crid=29H6TFJWFIXS1&dib=eyJ2IjoiMSJ9.e8KftBXN4yh9TMF4yHu5rO3WizhfEZ8fkocqLgX6z9Qvh_2V9Hf7-bax1QrR13DPjW8xJET_knn9uQNpQeoP8fEdYby12yCVp6NCnSCMdVg3RG1RyKfdXHtE0wcuqrtG91ZbIvqjVp0rBDHYxf1Ypl4tMoqhvJhzZBYgCxvR4U5Q-6VdEXoH3542M8BCvESaa6EBt2AaRS26Sr7kHqL--0Wx0sDCbfbzyseaSl5QRg7PvA6FGkrrIITSyYPJqivgMJWo3MMFqBbLbYYEetRHyo4K2fOQDxjbtPtzPXflNug.KKS36mG9HsUj4gLbEktt-vfxlfCY2vBHesUayDkSkJs&dib_tag=se&keywords=ov2640&qid=1711570131&s=industrial&sprefix=ov2640%2Cindustrial%2C81&sr=1-2-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1"
"1","N/A","N/A","Amazon","WIRE-20AWG","WIRE3801","https://www.amazon.ca/dp/B08QVKJPZP?ref=ppx_yo2ov_dt_b_product_details&th=1"
"19","ERJ-3EKF1003V","P100KHTR-ND","Digikey","100kR_1/10W_1%","R501,R502,R503,R504,R603,R801,R802,R804,R2703,R3101,R3102,R3103,R3104,R3108,R3109,R3401,R3501,R3601,R3701","https://www.digikey.ca/en/products/detail/panasonic-electronic-components/ERJ-3EKF1003V/196075"
"13","RMCF0603FT100R","RMCF0603FT100RTR-ND","Digikey","100R_1/10W_1%","R701,R702,R1601,R1701,R1801,R1901,R2801,R2802,R2902,R2903,R2904,R3002,R3003","https://www.digikey.ca/en/products/detail/stackpole-electronics-inc/RMCF0603FT100R/1761113"
"14","RMCF0603FT10K0","RMCF0603FT10K0TR-ND","Digikey","10kR_1/10W_1%","R601,R602,R605,R606,R607,R608,R803,R1301,R1302,R1303,R1401,R2001,R2701,R2702","https://www.digikey.ca/en/products/detail/stackpole-electronics-inc/RMCF0603FT10K0/1761235"
"5","RMCF0603FT1K00","RMCF0603FT1K00TR-ND","Digikey","1kR_1/10W_1%","R604,R3105,R3106,R3107,R3110","https://www.digikey.ca/en/products/detail/stackpole-electronics-inc/RMCF0603FT1K00/1761077"
"1","SWR25X-NRTC-S02-RB-BA","S9499-ND","Digikey","HDR_1X2_5A_THD-RA","J2201","https://www.digikey.ca/en/products/detail/sullins-connector-solutions/SWR25X-NRTC-S02-RB-BA/2769660"
"1","SK510A-LTP","SK510A-LTPMSTR-ND","Digikey","SK510A-LTP","D3301",""
"1","W25Q64JVSSIQ","W25Q64JVSSIQ-ND","Digikey","W25Q64JVSSIQ","U2001","https://www.digikey.ca/en/products/detail/winbond-electronics/W25Q64JVSSIQ/5803992"
"1","2111400100","WM25681-ND","Digikey","ANT_915MHZ","ANT3801","https://www.digikey.ca/en/products/detail/molex/2111400100/9953925"
"1","ECS-160-12-37B-CTN-TR","XC3061TR-ND","Digikey","16MHz_12pF_10ppm","X601",""
